Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.2011896,-0.550735,8.056702,9.372940,12.371974,40.747406,93.910507
1.2052484,-0.660858,8.083038,9.145493,12.223433,41.565865,94.674026
1.2092767,-0.756638,8.114166,8.901291,12.068355,42.474934,95.327370
1.2133355,-0.847610,8.138107,8.659470,11.913591,43.376507,95.946106
1.2173638,-0.950562,8.152466,8.434418,11.768844,44.219490,96.650543
1.2214227,-1.091812,8.154861,8.271606,11.666759,44.847267,97.625687
1.2254510,-1.252228,8.135712,8.178238,11.603510,45.186028,98.750153
1.2295098,-1.415039,8.109375,8.151901,11.585240,45.279789,99.898125
1.2335382,-1.541931,8.073456,8.171051,11.589836,45.168945,100.812576
1.2375970,-1.618546,8.051910,8.216553,11.617431,44.987526,101.365776
1.2416253,-1.666428,8.047119,8.288376,11.671773,44.755207,101.699654
1.2456841,-1.678406,8.056702,8.393723,11.755087,44.434586,101.767784
1.2497125,-1.680786,8.104584,8.551727,11.901318,44.064857,101.716316
1.2537713,-1.649673,8.188385,8.740875,12.090243,43.699818,101.390625
1.2577996,-1.606567,8.300903,8.975510,12.330687,43.289352,100.953667
1.2618586,-1.563477,8.418228,9.253235,12.606878,42.778645,100.521385
1.2658868,-1.527557,8.528351,9.574051,12.912345,42.143646,100.154861
1.2699457,-1.491653,8.614548,9.928406,13.229085,41.366440,99.823654
1.2739739,-1.441376,8.681580,10.282745,13.534484,40.558350,99.426651
1.2780328,-1.355179,8.741440,10.593994,13.801521,39.861488,98.812370
1.2820916,-1.242661,8.796509,10.845383,14.019455,39.322163,98.040825
1.2861199,-1.089432,8.813263,11.024948,14.156622,38.850643,97.046745
1.2901788,-0.905075,8.808472,11.135071,14.226669,38.492474,95.866585
1.2942071,-0.720718,8.772568,11.190140,14.237156,38.188461,94.696640
1.2982659,-0.545944,8.719894,11.187744,14.195078,37.987736,93.582558
1.3022943,-0.366379,8.648071,11.118317,14.090434,37.901463,92.425903
1.3063531,-0.196381,8.578629,10.984238,13.938612,37.996918,91.311378
1.3103814,-0.043152,8.499634,10.802277,13.745357,38.197350,90.290886
1.3144403,0.055008,8.394287,10.586807,13.511017,38.411526,89.624542
1.3184686,0.095703,8.272171,10.344986,13.246007,38.648785,89.337158
1.3225274,0.088516,8.162048,10.093597,12.981047,38.961903,89.378662
1.3265557,-0.019211,8.037552,9.847000,12.710862,39.222904,90.136948
1.3306146,-0.215546,7.910660,9.665039,12.491516,39.310127,91.560783
1.3346429,-0.493271,7.781372,9.569275,12.343585,39.172955,93.627197
1.3387018,-0.861969,7.630539,9.559692,12.261967,38.774067,96.444984
1.3427300,-1.295334,7.479691,9.667435,12.291581,38.139576,99.825043
1.3467890,-1.781357,7.297745,9.842209,12.381413,37.352478,103.717476
1.3508172,-2.293701,7.108597,10.060074,12.529897,36.593452,107.883118
1.3548760,-2.801285,6.883545,10.277954,12.683325,35.869690,112.144051
1.3589044,-2.801285,6.668060,10.455124,12.712979,34.674473,112.787514
1.3629632,-3.263367,6.471741,10.541321,12.792671,34.511501,116.759468
1.3669915,-3.651215,6.296967,10.493439,12.770882,34.747772,120.106750
1.3710504,-3.914581,6.182037,10.328232,12.657563,35.316299,122.342751
1.3750788,-4.055847,6.091064,10.036133,12.420746,36.097687,123.658394
1.3791375,-4.058243,6.031204,9.657852,12.087964,36.968685,123.935600
1.3831658,-3.952896,5.988113,9.219711,11.682720,37.891518,123.429749
1.3872247,-3.744598,5.952194,8.757629,11.231505,38.763424,122.174500
1.3912835,-3.481232,5.916290,8.288376,10.761907,39.631859,120.473175
1.3953118,-2.837189,5.916290,7.823898,10.211049,39.984451,115.620300
1.3993707,-2.511581,5.945007,7.364212,9.791975,41.230335,112.902550
1.4033990,-2.197937,5.992905,6.945221,9.433023,42.585644,110.140839
1.4074578,-1.944153,6.052750,6.598068,9.162424,43.935398,107.807098
1.4114861,-1.776566,6.047958,6.353851,8.950163,44.772030,106.369957
1.4155451,-1.702347,5.992905,6.191055,8.783055,45.179638,105.857750
1.4195733,-1.711914,5.904312,6.080917,8.646913,45.311886,106.169144
1.4236323,-1.812469,5.746292,6.016281,8.514726,45.043182,107.506081
1.4276605,-1.996826,5.518845,6.023453,8.409931,44.255829,109.891113
1.4317193,-2.219482,5.327316,5.989944,8.317802,43.934334,112.617729
1.4357476,-2.478058,5.176468,5.846283,8.192412,44.469646,115.581184
1.4398065,-2.758179,5.051971,5.614044,8.040364,45.714622,118.632813
